StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,UserLanguage,Q1.2,Q3.1_1,Q3.1_2,Q3.1_3,Q4.2,Q4.3,Q5.2,Q5.4,Q5.6,Q5.8,Q5.10,Q5.12,Q5.14,Q5.16,Q5.18,Q5.20,Q5.21,Q5.23,Q5.25,Q5.27,Q5.29,Q6.2,Q6.4,Q6.6,Q6.8,Q6.10,Q6.12,Q6.14,Q6.16,Q6.18,Q6.20,Q6.21,Q6.23,Q6.25,Q6.27,Q6.29,Q7.2,Q7.4,Q7.6,Q7.8,Q7.10,Q7.12,Q7.14,Q7.16,Q7.18,Q7.20,Q7.21,Q7.23,Q7.25,Q7.27,Q7.29,Q8.2,Q8.4,Q8.6,Q8.8,Q8.10,Q8.12,Q8.14,Q8.16,Q8.18,Q8.20,Q8.21,Q8.23,Q8.25,Q8.27,Q8.29,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.1_5,Q9.2,Q10.2,Q10.3,Q10.4,Q11.2,Q11.4,Q11.6,Q11.8,Q11.10,Q11.12,Q11.14,Q11.16,Q11.18,Q11.20,Q11.22,Q11.24,Q11.26,Q11.28,Q11.30,Q11.31,Q11.33,Q11.35,Q11.37,Q11.39,Q11.41,Q11.43,Q12.2,Q12.4,Q12.6,Q12.8,Q12.10,Q12.12,Q12.14,Q12.16,Q12.18,Q12.20,Q12.22,Q12.24,Q12.26,Q12.28,Q12.30,Q12.31,Q12.33,Q12.35,Q12.37,Q12.39,Q12.41,Q12.43,Q13.2,Q13.4,Q13.6,Q13.8,Q13.10,Q13.12,Q13.14,Q13.16,Q13.18,Q13.20,Q13.22,Q13.24,Q13.26,Q13.28,Q13.30,Q13.31,Q13.33,Q13.35,Q13.37,Q13.39,Q13.41,Q13.43,Q14.2,Q14.4,Q14.6,Q14.8,Q14.10,Q14.12,Q14.14,Q14.16,Q14.18,Q14.20,Q14.22,Q14.24,Q14.26,Q14.28,Q14.30,Q14.31,Q14.33,Q14.35,Q14.37,Q14.39,Q14.41,Q14.43,Q15.2,Q15.4,Q15.6,Q15.8,Q15.10,Q15.12,Q15.14,Q15.16,Q15.18,Q15.20,Q15.22,Q15.24,Q15.26,Q15.28,Q15.30,Q15.31,Q15.33,Q15.35,Q15.37,Q15.39,Q15.41,Q15.43,Q16.2,Q16.4,Q16.6,Q16.8,Q16.10,Q16.12,Q16.14,Q16.16,Q16.18,Q16.20,Q16.22,Q16.24,Q16.26,Q16.28,Q16.30,Q16.31,Q16.33,Q16.35,Q16.37,Q16.39,Q16.41,Q16.43,Q17.2,Q17.4,Q17.6,Q17.8,Q17.10,Q17.12,Q17.14,Q17.16,Q17.18,Q17.20,Q17.22,Q17.24,Q17.26,Q17.28,Q17.30,Q17.31,Q17.33,Q17.35,Q17.37,Q17.39,Q17.41,Q17.43,Q18.2,Q18.4,Q18.6,Q18.8,Q18.10,Q18.12,Q18.14,Q18.16,Q18.18,Q18.20,Q18.22,Q18.24,Q18.26,Q18.28,Q18.30,Q18.31,Q18.33,Q18.35,Q18.37,Q18.39,Q18.41,Q18.43,Q19.1_1,Q19.1_2,Q19.1_3,Q19.1_4,Q19.1_5,Q19.2,Q19.3,Q19.4,Q20.1,Q20.2,Q20.2_4_TEXT
2023-03-06 15:28:19,2023-03-06 15:35:18,100,419,True,2023-03-06 15:35:19,EN,I agree.,Slightly knowledgeable,Slightly knowledgeable,Not knowledgeable at all,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,,,,,,,,,,,,,,,,grilled_salmon,"Yes, I agree.",dumplings,"No, I do not agree.",cheese_plate,"No, I do not agree.",chocolate_mousse,"No, I do not agree.",macaroni_and_cheese,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Because they make sense,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,I think that the criminal defendant is not likely to reoffend.,"Yes, I agree.",Yes,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is not likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Because its based in correct information,race,priors count,23,Female,
2023-03-06 15:28:33,2023-03-06 15:35:58,100,444,True,2023-03-06 15:35:59,EN,I agree.,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,grilled_salmon,"Yes, I agree.",spring_rolls,"Yes, I agree.",cheese_plate,"Yes, I agree.",chocolate_mousse,"Yes, I agree.",,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Somewhat agree,Agree,Agree,Agree,,race,recidivism decile score,30,Female,
2023-03-06 15:27:02,2023-03-06 15:36:00,100,537,True,2023-03-06 15:36:01,EN,I agree.,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,steak,"No, I do not agree.",lobster_bisque,"Yes, I agree.",french_fries,"Yes, I agree.",panna_cotta,"No, I do not agree.",bibimbap,"No, I do not agree.",I need more examples to become familiar with the model.,prime_rib,"Yes, I agree.",,"No, I do not agree.",,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,The model seemed to be accurate more times than it was inaccurate ,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is not likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is not likely to reoffend.,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Model made same decisions as me based on the criteria,sex,priors count,30,Female,
2023-03-06 15:27:58,2023-03-06 15:37:42,100,584,True,2023-03-06 15:37:43,EN,I agree.,Not knowledgeable at all,Not knowledgeable at all,Not knowledgeable at all,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,grilled_salmon,"Yes, I agree.",spring_rolls,"Yes, I agree.",cheese_plate,"Yes, I agree.",chocolate_mousse,"Yes, I agree.",macaroni_and_cheese,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,It was looking at the right parts of the foods ,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,I think that the criminal defendant is not likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is not likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,It’s difficult for the computer to make decisions about things that have so many variables ,age category,priors count,39,Female,
2023-03-06 15:26:43,2023-03-06 15:38:20,100,696,True,2023-03-06 15:38:21,EN,I agree.,Moderately knowledgeable,Not knowledgeable at all,Not knowledgeable at all,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,grilled_salmon,"Yes, I agree.",spring_rolls,"Yes, I agree.",,"Yes, I agree.",ice_cream,"No, I do not agree.",macaroni_and_cheese,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Agree,Somewhat agree,Agree,Agree,seems to get most decisions right,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",Yes,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",Yes,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",Yes,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,"seems to place too much weight on the age and race category, and too little on stuff like priors count which i consider to be the real indicator",age category,recidivism decile score,22,Male,
2023-03-06 15:26:37,2023-03-06 15:38:35,100,717,True,2023-03-06 15:38:36,EN,I agree.,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pork_chop,"Yes, I agree.",beignets,"Yes, I agree.",french_fries,"Yes, I agree.",creme_brulee,"No, I do not agree.",fried_rice,"No, I do not agree.",I am familiar enough and do not need more examples.,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,I think the model made some bad decisions so I wouldn't trust it completely,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",Yes,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,I think this model is more trustworthy than the previous one because I think it made more right choices.,race,violence decile score,23,Male,
2023-03-06 15:26:58,2023-03-06 15:38:45,100,706,True,2023-03-06 15:38:46,EN,I agree.,Extremely knowledgeable,Extremely knowledgeable,Not knowledgeable at all,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pork_chop,"Yes, I agree.",clam_chowder,"No, I do not agree.",french_fries,"No, I do not agree.",panna_cotta,"No, I do not agree.",huevos_rancheros,"No, I do not agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,"While I had not heard of some of the foods (for instance, huevos rancheros but I think huevos is Spanish for eggs?), for the ones I heard of it seemed to be wrong occassionally. For instance, it classified something as eggs benedict when it plainly was not. Sometimes I am confused about why it takes into account a particular part of the food (i.e. colouring it red when it is not necessarily the most important part)",The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,No,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I found the decisions bizarre - the people with high risk of recidivism / violence and with large numbers of priors were deemed unlikely to reoffend and also it seemed strange that the overall response appeared to combine the inputs in a weird way so even though it looked like reoffending was possible it was not deemed so by the algorithm,age category,priors count,21,Male,
2023-03-06 15:27:45,2023-03-06 15:39:17,100,691,True,2023-03-06 15:39:18,EN,I agree.,Moderately knowledgeable,Slightly knowledgeable,Slightly knowledgeable,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prime_rib,"Yes, I agree.",lobster_bisque,"No, I do not agree.",poutine,"No, I do not agree.",panna_cotta,"No, I do not agree.",fried_rice,"No, I do not agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,The priority of different pixels seems to be too random.,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,No,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,The model seems to work exact opposite way. ,sex,priors count,25,Male,
2023-03-06 15:29:07,2023-03-06 15:39:39,100,631,True,2023-03-06 15:39:39,EN,I agree.,Moderately knowledgeable,Moderately knowledgeable,Moderately knowledgeable,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pork_chop,"Yes, I agree.",french_onion_soup,"Yes, I agree.",french_fries,"Yes, I agree.",eggs_benedict,"Yes, I agree.",,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I'm sure he compares a lot of content with each other,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",Yes,I think that the criminal defendant is not likely to reoffend.,"Yes, I agree.",Yes,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",Yes,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",Yes,I think that the criminal defendant is not likely to reoffend.,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Agree,Agree,Agree,Agree,because it compares a lot of content that a normal person would not be able to,priors count,recidivism decile score,20,Female,
2023-03-06 15:29:42,2023-03-06 15:39:43,100,600,True,2023-03-06 15:39:44,EN,I agree.,Slightly knowledgeable,Slightly knowledgeable,Slightly knowledgeable,The model is a computer program that automatically classify different types of food.,Red parts of the image have a high influence on the model's prediction.,,,,,,,,,,,,,,,,grilled_salmon,"No, I do not agree.",spring_rolls,"Yes, I agree.",cheese_plate,"No, I do not agree.",chocolate_mousse,"No, I do not agree.",macaroni_and_cheese,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,The samples provided prove it's capability.,The model is a computer program that automatically evaluates if a criminal defendant is likely to reoffend.,The attributes will influence the automated decisions for criminal recidivism.,Positive values (in red) have a higher impact to the model's decision that the defendant is likely to reoffend.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,I think that the criminal defendant is not likely to reoffend.,"No, I do not agree.",Yes,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",Yes,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",Yes,I think that the criminal defendant is likely to reoffend.,"No, I do not agree.",No,I think that the criminal defendant is likely to reoffend.,"Yes, I agree.",I am familiar enough and do not need more examples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,I did not agree with the decisions made in the examples .,sex,priors count,34,Female,
