StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,Question 31,Question 32,Question 33,Question 34,Question 35,Question 36,Question 37,Question 38,Question 39,Question 40,Question 41,Question 42,Question 43,Question 44,Question 45,Question 46,Question 47,Question 48,Question 49,Question 50
2023-01-12 17:02:26,2023-01-12 17:06:04,100,218,True,2023-01-12 17:06:05,R_3mmfh893RLH9buA,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.
2023-01-15 10:26:29,2023-01-15 10:59:06,100,1957,True,2023-01-15 10:59:07,R_OkypRtjcFkVr6AV,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.
2023-01-15 17:01:39,2023-01-15 17:21:56,100,1217,True,2023-01-15 17:21:57,R_1gdyCa82x09fvgg,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.
2023-01-15 18:41:06,2023-01-15 18:52:56,100,709,True,2023-01-15 18:52:57,R_Oy4CdylwIT0n409,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.
2023-01-17 11:47:20,2023-01-17 11:56:29,100,549,True,2023-01-17 11:56:30,R_cNOHm8IapMCctjP,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.
2023-01-17 11:43:28,2023-01-17 12:05:47,100,1339,True,2023-01-17 12:05:47,R_1rx2BuP99ZBibwp,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.
2023-01-17 16:14:18,2023-01-17 18:34:56,100,8437,True,2023-01-17 18:34:56,R_26mf9mVVNw9Qzln,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.
2023-01-17 18:38:11,2023-01-17 18:48:38,100,626,True,2023-01-17 18:48:39,R_AoNSEloRwFnXxct,anonymous,EN,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.
2023-01-17 20:51:49,2023-01-17 21:01:27,100,578,True,2023-01-17 21:01:27,R_2CdLT4Gs605HadD,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.
2023-01-18 10:46:59,2023-01-18 10:55:05,100,486,True,2023-01-18 10:55:06,R_1nUZuowTKrnnQIS,anonymous,EN,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is likely to reoffend.,I think that the criminal defendant is not likely to reoffend.,I think that the criminal defendant is not likely to reoffend.
